drug	drug_class
amikacin	aminoglycosides
amoxicillin	penicillins
amoxicillin-clavulanic_acid	penicillins-beta_lactamase_inhibitors
ampicillin	penicillins
ampicillin-sulbactam	penicillins-beta_lactamase_inhibitors
azithromycin	macrolides
aztreonam	monobactams
bacitracin	polypeptides
capreomycin	aminoglycosides
carbenicillin	penicillins
cefaclor	cephalosporins
cefalotin	cephalosporins
cefamandole	cephalosporins
cefazolin	cephalosporins
cefepime	cephalosporins
cefiderocol	cephalosporins
cefixime	cephalosporins
cefoperazone-sulbactam	cephalosporins-beta_lactamase_inhibitors
cefotaxime	cephalosporins
cefotaxime-clavulanic_acid	cephalosporins-beta_lactamase_inhibitors
cefotetan	cephalosporins
cefoxitin	cephalosporins
cefpodoxime	cephalosporins
cefpodoxime_proxetil	cephalosporins
ceftaroline	cephalosporins
ceftazidime	cephalosporins
ceftazidime-avibactam	cephalosporins-beta_lactamase_inhibitors
ceftazidime-clavulanic_acid	cephalosporins-beta_lactamase_inhibitors
ceftiofur	cephalosporins
ceftolozane-tazobactam	cephalosporins-beta_lactamase_inhibitors
ceftriaxone	cephalosporins
ceftriaxone-cefpodoxime	cephalosporins
cefuroxime	cephalosporins
cephalexin	cephalosporins
cephalothin	cephalosporins
chloramphenicol	amphenicols
chlortetracycline	tetracyclines
ciprofloxacin	fluoroquinolones
clarithromycin	macrolides
clindamycin	lincosamides
clofazimine	riminophenazines
colistin	polymyxins
cycloserine	isoxazolines
dalbavancin	lipoglycopeptides
danofloxacin	fluoroquinolones
daptomycin	lipopeptides
dicloxacillin	penicillins
doripenem	carbapenems
doxycycline	tetracyclines
enrofloxacin	fluoroquinolones
ertapenem	carbapenems
erythromycin	macrolides
ethambutol	antimycobacterials
ethionamide	thioamides
florfenicol	amphenicols
fosfomycin	phosphonics
furazolidone	nitrofuran
fusidic_acid	fusidane
gatifloxacin	fluoroquinolones
gentamicin	aminoglycosides
imipenem	carbapenems
imipenem-relebactam	carbapenems-beta_lactamase_inhibitors
isoniazid	antimycobacterials
kanamycin	aminoglycosides
levofloxacin	fluoroquinolones
lincomycin	lincosamides
linezolid	oxazolidinones
meropenem	carbapenems
methicillin	penicillins
minocycline	tetracyclines
moxifloxacin	fluoroquinolones
mupirocin	aminoacyl_trna_synthetase_inhibitor
nalidixic_acid	quinolones
neomycin	aminoglycosides
netilmicin	aminoglycosides
nicotinamide	vitamin_b
nitrofurantoin	nitrofuran_derivatives
norfloxacin	fluoroquinolones
ofloxacin	fluoroquinolones
oxacillin	penicillins
oxytetracycline	tetracyclines
para_aminosalicylic_acid	antimycobacterials
penicillin	penicillins
piperacillin	penicillins
piperacillin-tazobactam	penicillins-beta_lactamase_inhibitors
polymyxin_b	polymyxins
prothionamide	thioamides
pyrazinamide	antimycobacterials
quinupristin	streptogramins
quinupristin-dalfopristin	streptogramins
rifabutin	rifamycins
rifampin	rifamycins
sparfloxacin	fluoroquinolones
spectinomycin	aminocyclitols
streptomycin	aminoglycosides
sulbactam	beta_lactamase_inhibitors
sulfadimethoxine	sulfonamides
sulfamethoxazole	sulfonamides
sulfisoxazole	sulfonamides
synercid	streptogramins
tedizolid	oxazolidinones
teicoplanin	glycopeptides
telithromycin	macrolides
tetracycline	tetracyclines
tiamulin	pleuromutilin
ticarcillin	penicillins
ticarcillin-clavulanic_acid	penicillins-beta_lactamase_inhibitors
tigecycline	tetracyclines
tilmicosin	macrolides
timentin	penicillins
tobramycin	aminoglycosides
trimethoprim	trimethoprim_derivatives
trimethoprim-sulfamethoxazole	trimethoprim-sulfonamides
trimethoprim-sulfobactam	trimethoprim-sulfonamides
trovafloxacin	fluoroquinolones
tulathromycin	macrolides
tylosin	macrolides
vancomycin	glycopeptides
ceftobiprole	cephalosporins
virginiamycin	streptogramins
surotomycin	lipopeptides
metronidazole	nitroimidazoles
bedaquiline	diarylquinolines
pristinamycin	streptogramins
avilamycin	orthosomycins
penicillin-novobiocin	penicillins-aminocoumarins
sulfamethazine	sulfonamides
zoliflodacin	spiropyrimidinetriones
ampicillin-clavulanic_acid	penicillins-beta_lactamase_inhibitors
apramycin	aminoglycosides
arbekacin	aminoglycosides
benzylpenicillin	penicillins
biapenem	carbapenems
cefdinir	cephalosporins
cefepime-taniborbactam	cephalosporins-beta_lactamase_inhibitors
cefmetazole	cephalosporins
cefoperazone	cephalosporins
cefovecin	cephalosporins
cefozopran	cephalosporins
cefpirome	cephalosporins
cefquinome	cephalosporins
ceftibuten	cephalosporins
ceftizoxime	cephalosporins
delafloxacin	fluoroquinolones
delamanid	nitroimidazoles
eravacycline	tetracyclines
fidaxomicin	macrolides
gemifloxacin	fluoroquinolones
marbofloxacin	fluoroquinolones
mecillinam	penicillins
meropenem-vaborbactam	carbapenems-beta_lactamase_inhibitors
nafcillin	penicillins
omadacycline	tetracyclines
orbifloxacin	fluoroquinolones
oritavancin	lipoglycopeptides
pefloxacin	fluoroquinolones
pirlimycin	lincosamides
plazomicin	aminoglycosides
pradofloxacin	fluoroquinolones
pretomanid	nitroimidazoles
rifaximin	rifamycins
spiramycin	macrolides
sulfathiazole	sulfonamides
telavancin	lipoglycopeptides
temocillin	penicillins
