drug_class	class_abbr
aminocyclitols	ACL
amphenicols	AMF
aminoglycosides	AMG
antimycobacterials	AMY
aminoacyl_trna_synthetase_inhibitor	ATS
beta_lactamase_inhibitors	BLI
carbapenems	CAR
carbapenems-beta_lactamase_inhibitors	CAR-BLI
cephalosporins	CEP
cephalosporins-beta_lactamase_inhibitors	CEP-BLI
fluoroquinolones	FLQ
fusidane	FSD
glycylcyclines	GCY
glycopeptides	GLY
isoxazolines	ISX
lincosamides	LIN
lipopeptides	LIP
macrolides	MAC
monobactams	MON
nitrofuran_derivatives	NFD
nitrofuran	NIF
oxazolidinones	OXA
penicillins	PEN
penicillins-beta_lactamase_inhibitors	PEN-BLI
phosphonics	PHO
pleuromutilin	PLM
polypeptides	PLP
polymyxins	POL
quinolones	QUI
rifamycins	RIF
riminophenazines	RIM
streptogramins	STR
sulfonamides	SUL
tetracyclines	TET
thioamides	THD
trimethoprim_derivatives	TMD
trimethoprim-sulfonamides	TMD-SUL
vitamin_b	VIT_B
lipoglycopeptides	LGP
